id,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,market_cap,phone_number,address,description,sic_code,sic_description,ticker_root,homepage_url,total_employees,list_date,branding,share_class_shares_outstanding,weighted_shares_outstanding,round_lot,updated,ticker_suffix,is_test
11,ASTE,Astec Industries Inc,stocks,us,XNAS,CS,1,usd,792987.0,BBG000BCHZL1,BBG001S5NWY2,669528296.48,(423) 899-5898,"{'address1': '1725 SHEPHERD ROAD', 'city': 'CHATTANOOGA', 'state': 'TN', 'postal_code': '37421'}","Astec Industries Inc designs and manufactures equipment and components used in road construction and other development activities. Its products are used through the entire process of building roads, from mining and crushing materials to creating the road surface. The company manufactures a line of plants, pavers, vehicles, and machines to mix and transform materials into construction components. It has two operating segments: infrastructure solutions generating maximum revenue and materials solutions. The majority of sales are derived from the United States. Its customers are asphalt producers, highway and heavy equipment contractors, ready mix concrete producers, demolition recycling markets, sand and gravel producers, open mine operators, quarry operators, and others.",3531.0,CONSTRUCTION MACHINERY & EQUIP,ASTE,https://www.astecindustries.com,4322.0,1986-06-18,{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YXN0ZWNpbmR1c3RyaWVzLmNvbQ/images/2024-06-01_logo.svg'},22770000.0,22765328.0,100.0,,,
12,IDR,"Idaho Strategic Resources, Inc.",stocks,us,XASE,CS,1,usd,1030192.0,BBG000JLVQT9,BBG001SBCW53,,(208) 625-9001,"{'address1': '201 N. 3RD STREET', 'city': ""COEUR D'ALENE"", 'state': 'ID', 'postal_code': '83814'}",,1040.0,GOLD AND SILVER ORES,IDR,,,,,12740000.0,,100.0,,,
13,CDNA,"CareDx, Inc.",stocks,us,XNAS,CS,1,usd,1217234.0,BBG006JS5785,BBG006JS5794,,415-287-2300,"{'address1': '8000 MARINA BLVD', 'address2': '4TH FLOOR', 'city': 'BRISBANE', 'state': 'CA', 'postal_code': '94005'}",,8071.0,SERVICES-MEDICAL LABORATORIES,CDNA,,,,,52080000.0,,100.0,,,
14,MET,"MetLife, Inc.",stocks,us,XNYS,CS,1,usd,1099219.0,BBG000BB6KF5,BBG001S5T3R8,,212-578-5500,"{'address1': '200 PARK AVENUE', 'city': 'NEW YORK', 'state': 'NY', 'postal_code': '10166'}",,6311.0,LIFE INSURANCE,MET,,,,,711120000.0,,100.0,,,
15,LBRDK,Liberty Broadband Corporation Class C,stocks,us,XNAS,CS,1,usd,1611983.0,BBG006GNSZW5,BBG006GNSZX4,,720-875-5400,"{'address1': '12300 LIBERTY BLVD', 'city': 'ENGLEWOOD', 'state': 'CO', 'postal_code': '80112'}",,4841.0,CABLE & OTHER PAY TELEVISION SERVICES,LBRD,,,,,122590000.0,,100.0,,K,
16,RM,REGIONAL MANAGEMENT CORP,stocks,us,XNYS,CS,1,usd,1519401.0,BBG001PJFM76,BBG001V1C4G1,,864-448-7000,"{'address1': '979 BATESVILLE ROAD', 'address2': 'SUITE B', 'city': 'GREER', 'state': 'SC', 'postal_code': '29651'}",,6141.0,PERSONAL CREDIT INSTITUTIONS,RM,,,,,9900000.0,,100.0,,,
17,ZIMV,ZimVie Inc. Common Stock,stocks,us,XNAS,CS,1,usd,1876588.0,BBG014630587,BBG014630596,,800-342-5454,"{'address1': '4555 RIVERSIDE DRIVE', 'city': 'PALM BEACH GARDEN', 'state': 'FL', 'postal_code': '33410'}",,3843.0,DENTAL EQUIPMENT & SUPPLIES,ZIMV,,,,,27290000.0,,100.0,,,
18,DCOR,Dimensional US Core Equity 1 ETF,stocks,us,ARCX,ETF,1,usd,1816125.0,BBG01J6LT967,BBG01J6LTBL5,,,,,,,DCOR,,,,,10650000.0,,100.0,,,
19,XMLV,Invesco S&P MidCap Low Volatility ETF,stocks,us,ARCX,ETF,1,usd,1378872.0,BBG00449DWC9,BBG00449DWF6,,,,,,,XMLV,,,,,13950000.0,,100.0,,,
20,VIXY,ProShares VIX Short-Term Futures ETF,stocks,us,BATS,ETF,1,usd,1415311.0,BBG001CSFMQ9,BBG001V03507,,240-497-6400,"{'address1': '7501 WISCONSIN AVE', 'address2': 'SUITE 1000', 'city': 'BETHESDA', 'state': 'MD', 'postal_code': '20814'}",,6221.0,COMMODITY CONTRACTS BROKERS & DEALERS,VIXY,,,,,14050000.0,,100.0,,,
21,CDMO,"Avid Bioservices, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,704562.0,BBG000JDWKY3,BBG001SD4YL6,,714.508.6100,"{'address1': '14191 MYFORD ROAD', 'city': 'TUSTIN', 'state': 'CA', 'postal_code': '92780'}",,2834.0,PHARMACEUTICAL PREPARATIONS,CDMO,,,,,63480000.0,,100.0,,,
22,ICCT,iCoreConnect Inc. Common stock,stocks,us,XNAS,CS,1,usd,1906133.0,BBG01J3FSV92,BBG01J3FSW45,,888-810-7706,"{'address1': '529 E. CROWN POINT ROAD', 'address2': 'SUITE 250', 'city': 'OCOEE', 'state': 'FL', 'postal_code': '34761'}",,7372.0,SERVICES-PREPACKAGED SOFTWARE,ICCT,,,,,10260000.0,,100.0,,,
23,SIDU,"Sidus Space, Inc. Class A Common Stock",stocks,us,XNAS,CS,1,usd,1879726.0,BBG013QF0XV3,BBG013QF0YW0,,321-613-5620,"{'address1': '175 IMPERIAL BLVD.', 'city': 'CAPE CANAVERAL', 'state': 'FL', 'postal_code': '32920'}",,4812.0,RADIOTELEPHONE COMMUNICATIONS,SIDU,,,,,4080000.0,,100.0,,,
24,CAPE,DoubleLine Shiller CAPE U.S. Equities ETF,stocks,us,ARCX,ETF,1,usd,312070.0,BBG016GD7CG8,BBG016GD7D94,,,,,,,CAPE,,,,,13800000.0,,100.0,,,
25,CYBR,CyberArk Software Ltd.,stocks,us,XNAS,CS,1,usd,1598110.0,,,,,,,,,CYBR,,,,,43150000.0,,100.0,,,
26,DJUL,FT Vest U.S. Equity Deep Buffer ETF - July,stocks,us,BATS,ETF,1,usd,1667919.0,BBG00W286164,BBG00W2861Z2,,,,,,,DJUL,,,,,6800000.0,,100.0,,,
27,GHY,"PGIM Global High Yield Fund, Inc.",stocks,us,XNYS,FUND,1,usd,1554697.0,BBG0037TDXT4,BBG0037TDYM9,,,,,,,GHY,,,,,40920000.0,,100.0,,,
28,BETZ,Roundhill Sports Betting & iGaming ETF,stocks,us,ARCX,ETF,1,usd,1776878.0,BBG00V7866V2,BBG00V7867P7,,,,,,,BETZ,,,,,4780000.0,,100.0,,,
29,KNTK,Kinetik Holdings Inc.,stocks,us,XNYS,CS,1,usd,1692787.0,BBG00GCLZ7B8,BBG00GCLZ7C7,,713-621-7330,"{'address1': '2700 POST OAK BLVD.', 'address2': 'SUITE 300', 'city': 'HOUSTON', 'state': 'TX', 'postal_code': '77056'}",,4922.0,NATURAL GAS TRANSMISSION,KNTK,,,,,59720000.0,,100.0,,,
30,VAC,MARRIOTT VACATIONS WORLDWIDE CORPORATION,stocks,us,XNYS,CS,1,usd,1524358.0,BBG001J2R5H3,BBG001V0GHW2,,407-206-6000,"{'address1': '7812 PALM PARKWAY', 'city': 'ORLANDO', 'state': 'FL', 'postal_code': '32836'}",,6531.0,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),VAC,,,,,35160000.0,,100.0,,,
31,ONVO,Organovo Holdings Inc.,stocks,us,XNAS,CS,1,usd,1497253.0,BBG001M8GFD0,BBG001V10TP9,,858-224-1000,"{'address1': '11555 SORRENTO VALLEY ROAD', 'address2': 'SUITE 100', 'city': 'SAN DIEGO', 'state': 'CA', 'postal_code': '92121'}",,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",ONVO,,,,,14370000.0,,100.0,,,
32,TGLS,Tecnoglass Inc.,stocks,us,XNYS,CS,1,usd,1534675.0,,,,1(305)638-5151,"{'address1': '3550 NW 49TH STREET,', 'city': 'MIAMI', 'state': 'FL', 'postal_code': '33142'}",,3211.0,FLAT GLASS,TGLS,,,,,47000000.0,,100.0,,,
33,JPIE,JPMorgan Income ETF,stocks,us,ARCX,ETF,1,usd,1485894.0,BBG0130Y38D2,BBG0130Y3986,,,,,,,JPIE,,,,,33210000.0,,100.0,,,
34,IYW,iShares U.S. Technology ETF,stocks,us,ARCX,ETF,1,usd,930667.0,BBG000CF9GL4,BBG001SFB7Z7,,,,,,,IYW,,,2000-05-23,,123550000.0,,100.0,,,
35,IMMP,Immutep Limited American Depositary Shares,stocks,us,XNAS,ADRC,1,usd,1506184.0,BBG002WD6SY6,BBG002WD6TP4,,,,,,,IMMP,,,,,1424550000.0,,100.0,,,
36,VALN,Valneva SE American Depositary Shares,stocks,us,XNAS,ADRC,1,usd,1836564.0,BBG00ZZPBH08,BBG00ZZPBHX2,,,,,,,VALN,,,,,139280000.0,,100.0,,,
37,APD,"Air Products & Chemicals, Inc.",stocks,us,XNYS,CS,1,usd,2969.0,BBG000BC4JJ4,BBG001S5NSB6,59375684700.63,(610) 481-4911,"{'address1': '1940 AIR PRODUCTS BLVD.', 'city': 'ALLENTOWN', 'state': 'PA', 'postal_code': '18106-5500'}","Since its founding in 1940, Air Products has become one of the leading industrial gas suppliers globally, with operations in 50 countries and 19,000 employees. The company is the largest supplier of hydrogen and helium in the world. It has a unique portfolio serving customers in a number of industries, including chemicals, energy, healthcare, metals, and electronics. Air Products generated $12.6 billion in revenue in fiscal 2023.",2810.0,INDUSTRIAL INORGANIC CHEMICALS,APD,https://www.airproducts.com,23000.0,1961-11-13,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YWlycHJvZHVjdHMuY29t/images/2024-06-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/YWlycHJvZHVjdHMuY29t/images/2024-06-01_icon.jpeg'}",222310000.0,222305907.0,100.0,,,
38,BKN,BlackRock Investment Quality Municipal Trust,stocks,us,XNYS,FUND,1,usd,894242.0,BBG000BG98N9,BBG001S72D73,206040005.85,,,"Blackrock Investment Quality Municipal Trust, Inc. is a closed-end management investment fund with the investment objective to provide high current income exempt from regular U.S. federal income tax consistent with the preservation of capital.",,,BKN,https://www.blackrock.com,,1993-02-19,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YmxhY2tyb2NrLmNvbQ/images/2024-06-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/YmxhY2tyb2NrLmNvbQ/images/2024-06-01_icon.jpeg'}",17620000.0,17205846.0,100.0,,,
39,DBX,"Dropbox, Inc. Class A",stocks,us,XNAS,CS,1,usd,1467623.0,BBG0018SLDN0,BBG001TFLWN3,,415-986-7057,"{'address1': '1800 OWENS STREET, SUITE 200', 'city': 'SAN FRANCISCO', 'state': 'CA', 'postal_code': '94158'}",,7372.0,SERVICES-PREPACKAGED SOFTWARE,DBX,,,,,250340000.0,,100.0,,,
40,AMTD,"AMTD IDEA Group American Depositary Shares, each representing six (6) Class A Ordinary Shares",stocks,us,XNYS,ADRC,1,usd,1769731.0,BBG00PH297Y9,BBG00PH298P7,108329212.72,,,"AMTD IDEA Group is a financial institution operating in five business segments: The capital market solutions segment assists customers in raising funds through equity and debt financing, private placements, and debt issuances. The digital solutions and other services segment provides institutional and corporate clients with paid access to enhance investor communication and relations, corporate communication also provides digital financial solution services. The Media and entertainment segment offers print and digital advertising campaigns, licensing, and marketing services including branded content, video production. The hotel operations, hospitality, and VIP services segment engages in hotel investments, hotel operations, hospitality, and VIP services; and Strategic investment segment.",,,AMTD,https://www.amtdinc.com,232.0,2019-08-05,{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YW10ZGluYy5jb20/images/2024-06-01_logo.png'},234080000.0,66054398.0,100.0,,,
41,ASRT,"Assertio Holdings, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,1808665.0,BBG00T442DS2,BBG00T442DT1,114149526.0,(224) 419-7106,"{'address1': '100 S. SAUNDERS ROAD', 'address2': 'SUITE 300', 'city': 'LAKE FOREST', 'state': 'IL', 'postal_code': '60045'}","Assertio Holdings Inc is a pharmaceutical company. It is engaged in providing solutions to advance patient care in the areas of neurology, orphan and specialty medicines. The company markets three FDA-approved products for various neurological conditions including Gralise, tablets for the management of postherpetic neuralgia; CAMBIA, for acute treatment of migraine attacks with or without aura in adults of age or older; and Zipsor, liquid-filled capsules for relief of mild to moderate pain.",2834.0,PHARMACEUTICAL PREPARATIONS,ASRT,https://www.assertiotx.com,30.0,1997-11-05,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YXNzZXJ0aW90eC5jb20/images/2024-06-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/YXNzZXJ0aW90eC5jb20/images/2024-06-01_icon.jpeg'}",95130000.0,95124605.0,100.0,,,
42,VTEI,Vanguard Intermediate-Term Tax-Exempt Bond ETF,stocks,us,BATS,ETF,1,usd,,BBG01L82CB10,BBG01L82CC36,,,,,,,VTEI,,,,,1680000.0,,100.0,,,
43,JBL,Jabil Inc.,stocks,us,XNYS,CS,1,usd,898293.0,BBG000BJNGN9,BBG001S7RB70,,(727) 577-9749,"{'address1': '10800 ROOSEVELT BOULEVARD NORTH', 'city': 'ST PETERSBURG', 'state': 'FL', 'postal_code': '33716'}",,3672.0,PRINTED CIRCUIT BOARDS,JBL,,,,,120600000.0,,100.0,,,
44,HIBB,"Hibbett, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,1017480.0,BBG000H001V3,BBG001S92VH8,,(205) 942-4292,"{'address1': '2700 MILAN COURT', 'city': 'BIRMINGHAM', 'state': 'AL', 'postal_code': '35211'}",,5940.0,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,HIBB,,,,,11950000.0,,100.0,,,
45,ATNM,"Actinium Pharmaceuticals, Inc",stocks,us,XASE,CS,1,usd,1388320.0,BBG000RQZ245,BBG001SV3L17,213249509.16,(646) 677-3870,"{'address1': '100 PARK AVE., 23RD FLOOR', 'city': 'NEW YORK', 'state': 'NY', 'postal_code': '10017'}","Actinium Pharmaceuticals Inc is a biopharmaceutical company engaged in the development of radiotherapies for patients with cancers lacking effective treatment options. The company's proprietary technology platform utilizes monoclonal antibodies to deliver radioisotopes directly to cells of interest to kill those cells safely and effectively. Its product candidates are Iomab-B, an antibody-drug construct containing iodine 131 (I-131), used for hematopoietic stem cells transplantation in various indications and Actimab-A, an antibody-drug construct containing actinium 225 (Ac-225), currently in human clinical trials for acute myeloid leukemia.",2834.0,PHARMACEUTICAL PREPARATIONS,ATNM,https://www.actiniumpharma.com,49.0,2007-07-19,{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YWN0aW5pdW1waGFybWEuY29t/images/2024-06-01_logo.svg'},29780000.0,29783451.0,100.0,,,
46,PXI,Invesco Exchange-Traded Fund Trust Invesco Dorsey Wright Energy Momentum ETF,stocks,us,XNAS,ETF,1,usd,1209466.0,BBG000Q21QD3,BBG001SRNBK5,,,,,,,PXI,,,,,1520000.0,,100.0,,,
47,CTLP,"Cantaloupe, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,896429.0,BBG000H825F3,BBG001S96MW7,,(610) 989-0340,"{'address1': '100 DEERFIELD LANE', 'address2': 'SUITE 300', 'city': 'MALVERN', 'state': 'PA', 'postal_code': '19355'}",,3578.0,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS),CTLP,,,,,72810000.0,,100.0,,,
48,AMLP,Alerian MLP ETF,stocks,us,ARCX,ETF,1,usd,1414040.0,BBG0015CS200,BBG001TBMNT5,,,,,,,AMLP,,,2010-08-25,,183110000.0,,100.0,,,
49,GEO,"The GEO Group, Inc.",stocks,us,XNYS,CS,1,usd,923796.0,BBG000GC0TZ3,BBG001S6VYZ6,1816960926.18,561-893-0101,"{'address1': '4955 TECHNOLOGY WAY', 'city': 'BOCA RATON', 'state': 'FL', 'postal_code': '33431'}","The GEO Group Inc specializes in detention facilities and community reentry centers. It operates in four segments: U.S. Secure Services, which mainly encompasses U.S.-based secure services business; Electronic Monitoring and Supervision Services, which conducts its services in the United States, represents services provided to adults for monitoring services and evidence-based supervision and treatment programs for community-based parolees, probationers, and pretrial defendants; Reentry Services conducts its services in the United States represents services provided to adults for residential and non-residential treatment, educational and community-based programs, pre-release and half-way house programs; and International Services.",1520.0,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,GEO,https://www.geogroup.com,16400.0,1994-07-26,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/Z2VvZ3JvdXAuY29t/images/2024-06-01_logo.png', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/Z2VvZ3JvdXAuY29t/images/2024-06-01_icon.jpeg'}",136310000.0,136306146.0,100.0,,,
50,BIGC,"BigCommerce Holdings, Inc. Series 1 Common Stock",stocks,us,XNAS,CS,1,usd,1626450.0,BBG00W1PSSJ0,BBG00W1PSTC5,,1-888-699-8911,"{'address1': '11305 FOUR POINTS DR, BLDG 2, SUITE 100', 'city': 'AUSTIN', 'state': 'TX', 'postal_code': '78726'}",,7372.0,SERVICES-PREPACKAGED SOFTWARE,BIGC,,,,,77280000.0,,100.0,,,
51,HEPS,D-Market Electronic Services & Trading American Depositary Shares,stocks,us,XNAS,ADRC,1,usd,1850235.0,BBG0118LTKW0,BBG0118LTLQ5,,,,,,,HEPS,,,,,281380000.0,,100.0,,,
52,USAC,USA COMPRESSION PARTNERS LP,stocks,us,XNYS,CS,1,usd,1522727.0,BBG001QYKF35,BBG001V1S8F6,,512-473-2662,"{'address1': '111 CONGRESS AVENUE', 'address2': 'SUITE 2400', 'city': 'AUSTIN', 'state': 'TX', 'postal_code': '78701'}",,4922.0,NATURAL GAS TRANSMISSION,USAC,,,,,116990000.0,,100.0,,,
53,ABVX,Abivax SA American Depositary Shares,stocks,us,XNAS,ADRC,1,usd,1956827.0,BBG01JLQNZ03,BBG01JLQNZV9,836804904.6,,,"Abivax SA is a France-based clinical-stage biotechnology company focused on developing therapeutics that harness the body's natural regulatory mechanisms to stabilize the immune response in patients with chronic inflammatory diseases. They are evaluating its drug candidate, obefazimod, in Phase 3 clinical trials for the treatment of adults with moderately to severely active ulcerative colitis. Its initial focus is on inflammatory bowel diseases, chronic conditions involving inflammation of the gastrointestinal tract, of which the two most common forms are UC and CD.",,,ABVX,https://www.abivax.com,61.0,2023-10-20,{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YWJpdmF4LmNvbQ/images/2024-06-01_logo.png'},62930000.0,62917662.0,100.0,,,
54,LASE,Laser Photonics Corporation Common Stock,stocks,us,XNAS,CS,1,usd,1807887.0,BBG013KLFXW9,BBG013KLFYR3,,407-804-1000,"{'address1': '1101 NORTH KELLER ROAD', 'address2': 'SUITE G-2', 'city': 'ORLANDO', 'state': 'FL', 'postal_code': '32810'}",,3690.0,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",LASE,,,,,9270000.0,,100.0,,,
55,MDIV,First Trust Exchange-Traded Fund VI Multi-Asset Diversified Income Index Fund,stocks,us,XNAS,ETF,1,usd,1552740.0,BBG00393LWB1,BBG00393LX29,,,,,,,MDIV,,,2012-08-14,,26800000.0,,100.0,,,
56,TFC,Truist Financial Corporation,stocks,us,XNYS,CS,1,usd,92230.0,BBG000BYYLS8,BBG001S5YYC0,,(336) 733-2000,"{'address1': '214 NORTH TRYON STREET', 'city': 'CHARLOTTE', 'state': 'NC', 'postal_code': '28202'}",,6021.0,NATIONAL COMMERCIAL BANKS,TFC,,,,,1338100000.0,,100.0,,,
57,FMS,Fresenius Medical Care AG,stocks,us,XNYS,ADRC,1,usd,1333141.0,BBG000HDMR99,BBG001S97ZY5,11290549517.519999,,,"Fresenius Medical Care is the largest dialysis company in the world, treating about 345,000 patients from over 4,100 clinics across the globe as of December 2022. In addition to providing dialysis services, the firm is a leading supplier of dialysis products, including machines, dialyzers, and concentrates. Fresenius accounts for about 35% of the global dialysis products market and benefits from being the world's only fully integrated dialysis business. Services account for roughly 80% of firmwide revenue, including care coordination and ancillary operations, while products account for the other roughly 20%. Products typically enjoy a higher margin, making them a strong contributor to the bottom line.",,,FMS,https://www.freseniusmedicalcare.com,119845.0,1996-09-17,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/ZnJlc2VuaXVzbWVkaWNhbGNhcmUuY29t/images/2024-06-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/ZnJlc2VuaXVzbWVkaWNhbGNhcmUuY29t/images/2024-06-01_icon.png'}",293410000.0,586826898.0,100.0,,,
58,CARA,"Cara Therapeutics, Inc.",stocks,us,XNAS,CS,1,usd,1346830.0,BBG001J2QYS9,BBG001V0GHL4,,203-406-3700,"{'address1': '400 ATLANTIC STREET, SUITE 500', 'city': 'STAMFORD', 'state': 'CT', 'postal_code': '06901'}",,2834.0,PHARMACEUTICAL PREPARATIONS,CARA,,,,,54680000.0,,100.0,,,
59,NPCE,"Neuropace, Inc. Common Stock",stocks,us,XNAS,CS,1,usd,1528287.0,BBG001KWZD52,BBG001V0SVB1,,(650) 237-2700,"{'address1': '455 N. BERNARDO AVENUE', 'city': 'MOUNTAIN VIEW', 'state': 'CA', 'postal_code': '94043'}",,3841.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,NPCE,,,,,28770000.0,,100.0,,,
60,LDP,COHEN & STEERS LIMITED DURATION PREFERRED AND INCOME FUND INC,stocks,us,XNYS,FUND,1,usd,1548717.0,BBG002YMSB22,BBG002YMSBV0,,,,,,,LDP,,,,,29080000.0,,100.0,,,
61,IBN,ICICI Bank Limited,stocks,us,XNYS,ADRC,1,usd,1103838.0,BBG000DRM643,BBG001SCD3Z1,101181626942.02,,,"ICICI Bank Ltd provides banking services. The company's operating segments include Retail Banking; Wholesale Banking; Treasury, Life insurance, and Other Banking Businesses. The company generates maximum revenue from the Retail Banking segment which includes exposures of the Bank, which satisfy the four qualifying criteria of a regulatory retail portfolio as stipulated by RBI guidelines on the Basel III framework as well as includes income from credit cards, debit cards, third party product distribution, and the associated costs.",,,IBN,https://www.icicibank.com,157799.0,2000-03-28,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/aWNpY2liYW5rLmNvbQ/images/2024-06-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/aWNpY2liYW5rLmNvbQ/images/2024-06-01_icon.png'}",7029200000.0,3514471238.0,100.0,,,
62,NAVI,Navient Corporation,stocks,us,XNAS,CS,1,usd,1593538.0,BBG004MN1R41,BBG004MN1R50,,703-810-3000,"{'address1': '13865 SUNRISE VALLEY DRIVE', 'city': 'HERNDON', 'state': 'VA', 'postal_code': '20171'}",,6211.0,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",NAVI,,,,,111830000.0,,100.0,,,
63,GLYC,"GlycoMimetics, Inc.",stocks,us,XNAS,CS,1,usd,1253689.0,BBG001J1BQN9,BBG001V0FSK2,,240-243-1201,"{'address1': '9708 MEDICAL CENTER DRIVE', 'city': 'ROCKVILLE', 'state': 'MD', 'postal_code': '20850'}",,2834.0,PHARMACEUTICAL PREPARATIONS,GLYC,,,,,64459999.0,,100.0,,,
64,JIG,JPMorgan International Growth ETF,stocks,us,ARCX,ETF,1,usd,1485894.0,BBG00TSG1FP8,BBG00TSG1GG6,,,,,,,JIG,,,,,1480000.0,,100.0,,,
65,TRIN,Trinity Capital Inc. Common Stock,stocks,us,XNAS,CS,1,usd,1786108.0,BBG00T6WFZ96,BBG00T6WFZK3,,480.374.5350,"{'address1': '1 N. 1ST ST.', 'address2': '3RD FLOOR', 'city': 'PHOENIX', 'state': 'AZ', 'postal_code': '85004'}",,,,TRIN,,,,,49480000.0,,100.0,,,
66,PGHY,Invesco Global ex-US High Yield Corporate Bond ETF,stocks,us,ARCX,ETF,1,usd,1378872.0,BBG004Q00332,BBG004Q00341,,,,,,,PGHY,,,,,6850000.0,,100.0,,,
